run_id,timestamp,learning_rate,gamma,ent_coef,n_steps,mean_reward,std_reward,mean_episode_length,mean_final_fund,success_rate
1,2026-07-22T12:53:44,0.0007,0.99,0.0,5,108.29504966076236,50.18933276523283,184.4,111234.37044834152,0.15
2,2026-07-22T12:54:26,0.0001,0.99,0.0,5,40.87564079021903,48.43588629849686,199.2,63729.36535683889,0.0
3,2026-07-22T12:55:09,0.001,0.99,0.0,5,97.93687593805222,64.7145213776634,185.7,106724.89900003588,0.1
4,2026-07-22T12:55:50,0.0007,0.95,0.0,5,128.21902574368028,59.50639446555891,184.05,123337.0793991854,0.25
5,2026-07-22T12:56:32,0.0007,0.999,0.0,5,87.16700757472597,17.563039352743417,200.0,111501.86897418446,0.0
6,2026-07-22T12:57:14,0.0007,0.99,0.01,5,150.25758084846623,59.569661258838224,180.05,134068.62082087348,0.4
7,2026-07-22T12:57:57,0.0007,0.99,0.05,5,112.67924408302156,59.94588464992847,194.75,113617.36000852403,0.15
8,2026-07-22T12:58:22,0.0007,0.99,0.0,20,38.89545214692336,48.48616628516384,198.55,62246.939485006325,0.0
9,2026-07-22T12:58:42,0.0007,0.99,0.0,64,87.16700757472597,17.563039352743417,200.0,111501.86897418446,0.0
10,2026-07-22T12:59:12,0.0003,0.97,0.02,10,52.88814429244769,75.78689971417285,177.7,70504.38453503582,0.05
