run_id,timestamp,learning_rate,gamma,ent_coef,n_steps,clip_range,mean_reward,std_reward,mean_episode_length,mean_final_fund,success_rate
1,2026-07-22T12:42:55,0.0003,0.99,0.0,2048,0.2,158.2236506113482,42.108064491550735,154.2,144070.23852630527,0.65
2,2026-07-22T12:43:33,0.0001,0.99,0.0,2048,0.2,87.4990677695178,17.82388738363853,200.0,112498.40702395258,0.0
3,2026-07-22T12:44:10,0.001,0.99,0.0,2048,0.2,154.28386819813096,41.97936841385844,138.5,144849.33850632852,0.7
4,2026-07-22T12:44:47,0.0003,0.95,0.0,2048,0.2,131.34342735814332,57.15047147035496,144.35,130652.6322973518,0.55
5,2026-07-22T12:45:25,0.0003,0.999,0.0,2048,0.2,135.1294478008587,47.05337737933471,185.2,133229.07883022082,0.25
6,2026-07-22T12:46:03,0.0003,0.99,0.01,2048,0.2,159.61692786894906,40.20963770730235,133.05,147328.82702772628,0.8
7,2026-07-22T12:46:40,0.0003,0.99,0.05,2048,0.2,164.40121938809648,32.21769616173738,126.1,148075.23757711612,0.85
8,2026-07-22T12:47:18,0.0003,0.99,0.0,512,0.2,144.99656972079111,45.81353735020262,143.7,140986.92562615336,0.6
9,2026-07-22T12:47:55,0.0003,0.99,0.0,2048,0.1,149.3478969016425,50.430580347974285,141.4,139441.65887775394,0.7
10,2026-07-22T12:48:31,0.0003,0.99,0.0,2048,0.3,160.73812480681477,49.529930071808344,150.85,141908.06600339263,0.7
